name,start_node,end_node,length_m,free_flow_speed_mps,jam_density,number_of_lanes,highway,oneway
tc_1051498106_3200728316_0,1051498106,3200728316,10.785654199364071,13.411200000000001,0.2,1,residential,False
tc_1051503017_3200728316_0,1051503017,3200728316,8.058628710395913,13.411200000000001,0.2,1,residential,False
tc_10756047083_1245017210_0,10756047083,1245017210,14.0252600845797,8.940800000000001,0.2,1,primary,True
tc_10756047083_27537624_0,10756047083,27537624,38.09871709599974,8.940800000000001,0.2,1,primary,True
tc_10756047092_190546530_0,10756047092,190546530,13.495294429893653,8.940800000000001,0.2,1,primary,True
tc_10756047092_7853241886_0,10756047092,7853241886,49.544013379421614,8.940800000000001,0.2,1,secondary,True
tc_10756047097_190546518_0,10756047097,190546518,13.501358850194533,8.940800000000001,0.2,1,primary,True
tc_10756047097_7853241881_0,10756047097,7853241881,25.4180459513835,8.940800000000001,0.2,1,primary,True
tc_1118687152_3633077013_0,1118687152,3633077013,111.21518602151802,13.411200000000001,0.2,1,residential,False
tc_1118687438_1118687486_0,1118687438,1118687486,122.07817243228489,13.411200000000001,0.2,1,residential,False
tc_1118687438_3633027114_0,1118687438,3633027114,9.07975023212382,13.411200000000001,0.2,2,secondary,False
tc_1118687486_1118687438_0,1118687486,1118687438,122.0781724322849,13.411200000000001,0.2,1,residential,False
tc_11305234656_11305234657_0,11305234656,11305234657,12.63981575142469,8.88888888888889,0.2,1,residential,False
tc_11305234656_9554344877_0,11305234656,9554344877,273.04473190830873,8.88888888888889,0.2,1,residential,False
tc_11305234656_9554344885_0,11305234656,9554344885,19.360853211839515,8.88888888888889,0.2,1,residential,False
tc_11305234657_11305234656_0,11305234657,11305234656,12.63981575142469,8.88888888888889,0.2,1,residential,False
tc_11765834421_863281328_0,11765834421,863281328,7.901750057339426,13.411200000000001,0.2,1,residential,False
tc_11765834422_863281328_0,11765834422,863281328,8.571785978652743,13.411200000000001,0.2,1,residential,False
